,artist_name,song_title,songs_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Harry Styles,As It Was,4LRPiXqCikLlN15c3yImP7,0.449,0.023,8,-24.423,1,0.0336,0.903,0.0187,0.116,0.277,90.071,audio_features,7eg3WCVdauMpnUbfaZYfvQ,spotify:track:7eg3WCVdauMpnUbfaZYfvQ,https://api.spotify.com/v1/tracks/7eg3WCVdauMpnUbfaZYfvQ,https://api.spotify.com/v1/audio-analysis/7eg3WCVdauMpnUbfaZYfvQ,171667,4
1,Jack Harlow,First Class,1rDQ4oMwGJI7B4tovsBOxc,0.215,0.71,9,-7.285,1,0.0459,0.0143,1.97e-05,0.328,0.415,160.313,audio_features,0V4pyMCQ26KcrZoeZqoDtj,spotify:track:0V4pyMCQ26KcrZoeZqoDtj,https://api.spotify.com/v1/tracks/0V4pyMCQ26KcrZoeZqoDtj,https://api.spotify.com/v1/audio-analysis/0V4pyMCQ26KcrZoeZqoDtj,337709,4
2,Lizzo,About Damn Time,1PckUlxKqWQs3RlWXVBLw3,0.709,0.357,5,-9.289,1,0.214,0.478,0.000294,0.112,0.544,75.494,audio_features,4XJRpBOG0bU3Nxnvam3FnC,spotify:track:4XJRpBOG0bU3Nxnvam3FnC,https://api.spotify.com/v1/tracks/4XJRpBOG0bU3Nxnvam3FnC,https://api.spotify.com/v1/audio-analysis/4XJRpBOG0bU3Nxnvam3FnC,129480,4
3,Glass Animals,Heat Waves,3USxtqRwSYz57Ewm6wWRMp,0.797,0.616,1,-10.229,0,0.375,0.762,0.000293,0.0979,0.451,103.071,audio_features,44XjoNvtwevktFKjvVe1vH,spotify:track:44XjoNvtwevktFKjvVe1vH,https://api.spotify.com/v1/tracks/44XjoNvtwevktFKjvVe1vH,https://api.spotify.com/v1/audio-analysis/44XjoNvtwevktFKjvVe1vH,339612,4
4,Latto,Big Energy,6Zu3aw7FfjAF9WA0fA81Oq,0.708,0.673,6,-4.163,1,0.0585,0.499,0.000233,0.103,0.311,136.969,audio_features,1bdm32mVmoGcek5bVKxQKd,spotify:track:1bdm32mVmoGcek5bVKxQKd,https://api.spotify.com/v1/tracks/1bdm32mVmoGcek5bVKxQKd,https://api.spotify.com/v1/audio-analysis/1bdm32mVmoGcek5bVKxQKd,197520,4
5,Harry Styles,Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,0.833,0.652,11,-6.942,1,0.0762,0.00161,0.0985,0.106,0.405,158.022,audio_features,0LnS7aOdOdI1dNKZqdOLz4,spotify:track:0LnS7aOdOdI1dNKZqdOLz4,https://api.spotify.com/v1/tracks/0LnS7aOdOdI1dNKZqdOLz4,https://api.spotify.com/v1/audio-analysis/0LnS7aOdOdI1dNKZqdOLz4,135053,4
6,Bad Bunny,Titi Me Pregunto,1IHWl5LamUGEuP4ozKQSXZ,0.591,0.814,4,-4.986,1,0.0468,0.015,0.0,0.117,0.815,149.9,audio_features,13G5xv1wUKvJYbK0wYmioN,spotify:track:13G5xv1wUKvJYbK0wYmioN,https://api.spotify.com/v1/tracks/13G5xv1wUKvJYbK0wYmioN,https://api.spotify.com/v1/audio-analysis/13G5xv1wUKvJYbK0wYmioN,195760,4
7,Morgan Wallen,Wasted On You,3cBsEDNhFI9E82vPj3kvi3,0.417,0.202,0,-10.976,1,0.0357,0.935,0.0,0.108,0.323,118.029,audio_features,6qj02zSeEJGWZ4c0dn5QzJ,spotify:track:6qj02zSeEJGWZ4c0dn5QzJ,https://api.spotify.com/v1/tracks/6qj02zSeEJGWZ4c0dn5QzJ,https://api.spotify.com/v1/audio-analysis/6qj02zSeEJGWZ4c0dn5QzJ,194544,4
8,Bad Bunny,Moscow Mule,6Xom58OOXk2SoU711L2IXO,0.547,0.65,11,-13.62,0,0.324,0.444,0.0,0.34,0.684,144.81,audio_features,1ZlEzZZHicayQYMHHubc0s,spotify:track:1ZlEzZZHicayQYMHHubc0s,https://api.spotify.com/v1/tracks/1ZlEzZZHicayQYMHHubc0s,https://api.spotify.com/v1/audio-analysis/1ZlEzZZHicayQYMHHubc0s,160052,4
9,Justin Bieber,Ghost,6I3mqTwhRpn34SLVafSH7G,0.876,0.498,10,-7.511,1,0.0478,0.0706,0.0,0.143,0.428,122.016,audio_features,31i56LZnwE6uSu3exoHjtB,spotify:track:31i56LZnwE6uSu3exoHjtB,https://api.spotify.com/v1/tracks/31i56LZnwE6uSu3exoHjtB,https://api.spotify.com/v1/audio-analysis/31i56LZnwE6uSu3exoHjtB,173119,4
10,Dove Cameron,Boyfriend,59CfNbkERJ3NoTXDvoURjj,0.852,0.421,10,-9.153,0,0.208,0.428,2.28e-06,0.106,0.457,95.977,audio_features,6kYGOFNUMxpab09L5Ukoke,spotify:track:6kYGOFNUMxpab09L5Ukoke,https://api.spotify.com/v1/tracks/6kYGOFNUMxpab09L5Ukoke,https://api.spotify.com/v1/audio-analysis/6kYGOFNUMxpab09L5Ukoke,202285,4
11,Doja Cat,Woman,6Uj1ctrBOjOas8xZXGqKk4,0.555,0.536,7,-8.233,1,0.0452,0.669,0.0,0.0623,0.203,118.057,audio_features,1mw0RgNXIpYRyyCdBQbLgA,spotify:track:1mw0RgNXIpYRyyCdBQbLgA,https://api.spotify.com/v1/tracks/1mw0RgNXIpYRyyCdBQbLgA,https://api.spotify.com/v1/audio-analysis/1mw0RgNXIpYRyyCdBQbLgA,191638,4
12,Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,0.872,0.588,0,-6.276,1,0.0492,0.275,0.0,0.17,0.93,142.004,audio_features,5kVZxyMY1gfdCLiChsfjn1,spotify:track:5kVZxyMY1gfdCLiChsfjn1,https://api.spotify.com/v1/tracks/5kVZxyMY1gfdCLiChsfjn1,https://api.spotify.com/v1/audio-analysis/5kVZxyMY1gfdCLiChsfjn1,230704,4
13,Em Beihold,Numb Little Bug,3o9kpgkIcffx0iSwxhuNI2,0.707,0.811,4,-5.298,0,0.0304,0.311,0.0152,0.131,0.899,113.971,audio_features,69w5X6uTrOaWM32IetSzvO,spotify:track:69w5X6uTrOaWM32IetSzvO,https://api.spotify.com/v1/tracks/69w5X6uTrOaWM32IetSzvO,https://api.spotify.com/v1/audio-analysis/69w5X6uTrOaWM32IetSzvO,187342,4
14,Kodak Black,Super Gremlin,4A8cWXxKfIL3lAyUDzXbCF,0.721,0.479,9,-9.669,1,0.226,0.321,0.00156,0.182,0.902,164.948,audio_features,2NcQic8JxdjAlAHuNbOIRE,spotify:track:2NcQic8JxdjAlAHuNbOIRE,https://api.spotify.com/v1/tracks/2NcQic8JxdjAlAHuNbOIRE,https://api.spotify.com/v1/audio-analysis/2NcQic8JxdjAlAHuNbOIRE,140242,3
15,Morgan Wallen,You Proof,5uU1uuyaUIBOiiUSQG7Wl3,0.829,0.644,9,-7.696,0,0.0427,0.354,0.0511,0.0944,0.896,105.993,audio_features,35TyJIMR3xRouUuo2sjS6v,spotify:track:35TyJIMR3xRouUuo2sjS6v,https://api.spotify.com/v1/tracks/35TyJIMR3xRouUuo2sjS6v,https://api.spotify.com/v1/audio-analysis/35TyJIMR3xRouUuo2sjS6v,243508,4
16,NEW,True Love,7x0wkOCv38Xzd2DBmyU9IC,0.535,0.618,2,-5.668,1,0.382,0.0245,0.0,0.103,0.211,165.991,audio_features,6ws54n2IzyrIxxyzlG2bVJ,spotify:track:6ws54n2IzyrIxxyzlG2bVJ,https://api.spotify.com/v1/tracks/6ws54n2IzyrIxxyzlG2bVJ,https://api.spotify.com/v1/audio-analysis/6ws54n2IzyrIxxyzlG2bVJ,213976,4
17,Parmalee,Take My Name,2afB4eV1KWBqLqFqME6PTh,0.821,0.636,11,-4.479,1,0.169,0.142,0.0,0.233,0.163,127.961,audio_features,0QNNd0qMCDbraS1nQPg3aA,spotify:track:0QNNd0qMCDbraS1nQPg3aA,https://api.spotify.com/v1/tracks/0QNNd0qMCDbraS1nQPg3aA,https://api.spotify.com/v1/audio-analysis/0QNNd0qMCDbraS1nQPg3aA,142657,4
18,Ed Sheeran,Shivers,50nfwKoDiSYg8zOCREWAm5,0.327,0.472,10,-33.939,0,0.0453,0.841,0.98,0.216,0.0339,57.237,audio_features,6JIRjbIe2hQVDnH1Fbz3dc,spotify:track:6JIRjbIe2hQVDnH1Fbz3dc,https://api.spotify.com/v1/tracks/6JIRjbIe2hQVDnH1Fbz3dc,https://api.spotify.com/v1/audio-analysis/6JIRjbIe2hQVDnH1Fbz3dc,199958,4
19,Lil Nas X,Thats What I Want,0e8nrvls4Qqv5Rfa2UhqmO,0.575,0.644,6,-5.68,0,0.0309,0.271,0.0,0.131,0.626,80.07,audio_features,6F7UOC6fPWOkPqybOWBHSv,spotify:track:6F7UOC6fPWOkPqybOWBHSv,https://api.spotify.com/v1/tracks/6F7UOC6fPWOkPqybOWBHSv,https://api.spotify.com/v1/audio-analysis/6F7UOC6fPWOkPqybOWBHSv,195013,4
20,Elton John & Dua Lipa,Cold Heart (PNAU Remix),6zSpb8dQRaw0M1dK8PBwQz,0.529,0.695,6,-6.174,1,0.0278,0.488,1.24e-05,0.142,0.514,139.993,audio_features,6NHpyYvJyQsg2nXXzGYc2R,spotify:track:6NHpyYvJyQsg2nXXzGYc2R,https://api.spotify.com/v1/tracks/6NHpyYvJyQsg2nXXzGYc2R,https://api.spotify.com/v1/audio-analysis/6NHpyYvJyQsg2nXXzGYc2R,215572,4
